 Pdf No.,Links,Name of Ageement,Economies,Year entered into force,Competent authorities,Level of Recognition,Agreement text,PDF Link,Updated,Occupations
0,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a502b7d2067ccd2c4e?ref=view_12_page%3D1%26view_12_per_page%3D500,Memorandum Of Understanding between the Vietnam Association Of Certified Public Accountants (VACPA) and the Institute Of Certified Management Accountants Australia (ICMA),"Australia, Vietnam",NA,"Vietnam Association of Certified Public Accountants (VACPA); Application details, Institute of Certified Management Accountants Australia (ICMA); Application details",Partial,Available,https://cmaaustralia.edu.au/vietnam-association-of-certified-public-accountants-vacpa/,06/08/2021,Accountants
1,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a502b7d2067ccd2c35?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between the Hong Kong Institute of Certified Public Accountants (HKICPA) and the International Qualifications Appraisal Board (Representing the National Association of State Boards of Accountancy (NASBA) and the American Institute of Certified Public Accountants (AICPA),"Hong Kong, China, United States",2020,"Hong Kong Institute of Certified Public Accountants (HKICPA); Application details 1; Application details 2, International Qualifications Appraisal Board (US IQAB), The National Association of State Boards of Accountancy (NASBA); Application details, The American Institute of Certified Public Accountants (AICPA); Application details",Partial,Available,https://nasba.org/app/uploads/2020/06/Hong-Kong-MRA.pdf,06/08/2021,Accountants
2,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df7f94cd10d18ff2c7f?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between HKICPA and CPA Australia (CPAA),"Australia, Hong Kong, China",2000,"Hong Kong Institute of Certified Public Accountants (HKICPA); Application details 1; Application details 2, CPA Australia (CPAA); Application details",Partial,Available,https://www.hkicpa.org.hk/en/Membership/Registration-and-licensing/Recognition-of-overseas-bodies,06/08/2021,Accountants
3,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df7f94cd10d18ff2c73?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Membership Agreement between HKICPA and the Chartered Accountants Australia and New Zealand (CA ANZ),"Australia, Hong Kong, China, New Zealand",2017,"Hong Kong Institute of Certified Public Accountants (HKICPA); Application details 1; Application details 2, Chartered Accountants Australia and New Zealand (CA ANZ); Application details",Automatic,Available,https://www.hkicpa.org.hk/en/Membership/Registration-and-licensing/Recognition-of-overseas-bodies,06/08/2021,Accountants
4,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df7f94cd10d18ff2c79?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Membership Agreement between HKICPA and South African Institute of Chartered Accountants (SAICA),"South Africa, Hong Kong, China",2017,"Hong Kong Institute of Certified Public Accountants (HKICPA); Application details 1; Application details 2, South African Institute of Chartered Accountants (SAICA); Application details",Automatic,Available,https://www.hkicpa.org.hk/en/Membership/Registration-and-licensing/Recognition-of-overseas-bodies,06/08/2021,Accountants
5,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df7f94cd10d18ff2c75?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Membership Agreement between HKICPA and Chartered Accountants Ireland (CAI),"Ireland, Hong Kong, China",2017,"Hong Kong Institute of Certified Public Accountants (HKICPA); Application details 1; Application details 2, Charted Accountants Ireland (CAI); Application details 1; Application details 2",Automatic,Available,https://www.hkicpa.org.hk/en/Membership/Registration-and-licensing/Recognition-of-overseas-bodies,06/08/2021,Accountants
6,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df7f94cd10d18ff2c7b?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal Membership Agreement between HKICPA and  the Institute of Chartered Accountants in England and Wales (ICAEW),"England, Wales, Hong Kong, China",2017,"Hong Kong Institute of Certified Public Accountants (HKICPA); Application details 1; Application details 2, Institute of Chartered Accountants in England and Wales(ICAEW); Application details",Automatic,Available,https://www.hkicpa.org.hk/en/Membership/Registration-and-licensing/Recognition-of-overseas-bodies,06/08/2021,Accountants
7,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a502b7d2067ccd2c42?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between Chartered Accountants Ireland (CAI) and the International Qualifications Appraisal Board (Representing the National Association of State Boards of Accountancy (NASBA) and the American Institute of Certified Public Accountants (AICPA),"Ireland, United States",2017,"Charted Accountants Ireland (CAI); Application details 1; Application details 2, International Qualifications Appraisal Board (US IQAB), The National Association of State Boards of Accountancy (NASBA); Application details, The American Institute of Certified Public Accountants (AICPA); Application details",Partial ,Available here,https://nasba.org/app/uploads/2017/12/MRA-between-CAI-and-IQAB-representing-NASBA-and-AICPA-8.17.pdf,06/08/2021,Accountants
8,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a702b7d2067ccd2c8a?ref=view_12_page%3D1%26view_12_per_page%3D500,ASEAN Mutual Recognition Agreement on Accountancy Services,"Brunei Darussalam, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Philippines, Singapore, Thailand, Vietnam",2014,"ASEAN Chartered Professional Accountants (ACPA) and ACAP Coordinating Committee (ACPACC); Requirements for ASEAN CPA, Brunei Darussalam Institute of Certified Public Accountants; Application details, Kampuchea Institute of Certified Public Accountants and Auditors (KICPAA); Application details, The Indonesian Institute of Management Accountants (IAMI); Application details, Indonesian Institute of Certified Public Accountants (IAPA); Application details, The Lao Chamber of Professional Accountants and Auditors (LCPAA); Application details, Malaysian Institute of Accountants (MIA); Application details, Myanmar Institute of Certified Public Accountants (MICPA); Application details, Philippine Institute of Certified Public Accountants (PICPA); Application details, Institute of Singapore Chartered Accountants (ISCA); Application details 1; Application details 2, Federation of Accounting Professions of Thailand; Application details, Vietnam Association of Certified Public Accountants (VACPA); Application details, Vietnam Association of Accountants and Auditors (VAA)",Partial,Available,http://investasean.asean.org/files/upload/MRA%20on%20Accountancy%20(signed%20Nov%202014).pdf,06/10/2021,Accountants
9,https://aasc.knack.com/mra-inventory#home/view-mra-details2/5f9071a602b7d2067ccd2c68?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocal membership agreement between CPA Canada and the Institute of Chartered Accountants of Zimbabwe,"Canada, Zimbabwe",2019,"CPA Canada; Application details, Institute of Chartered Accountants of Zimbabwe (ICAZ); Application details",Automatic,No,NA,06/11/2021,Accountants
